Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
63,6541,6861,7180,7494,7806,8123,8448,8797,9185,9625,10096,10573,11078,11627,12205,12799,13405,14024,14646,15279,16064,16934,17832,18786,19691,20565,21517,22580,23693,24880,25954,26903,27928,29020,30145,31237,32470,33952,35526,37192,38930,40891,43132,45312,47772,50686
64,6282,6584,6893,7202,7512,7821,8129,8446,8788,9168,9573,9988,10437,10935,11474,12041,12628,13227,13834,14446,15122,15953,16816,17702,18641,19530,20457,21465,22516,23619,24608,25479,26407,27406,28478,29580,30732,32028,33483,35029,36622,38438,40516,42743,44914,47339
65,6020,6305,6596,6895,7202,7510,7811,8111,8423,8758,9107,9460,9850,10291,10777,11304,11863,12442,13029,13624,14277,14998,15822,16673,17546,18470,19405,20381,21378,22420,23335,24129,24981,25885,26863,27912,29069,30276,31543,32967,34446,36119,38047,40111,42323,44457
66,5751,6022,6296,6579,6877,7184,7484,7778,8074,8381,8687,8988,9318,9698,10127,10601,11118,11667,12233,12807,13441,14139,14854,15667,16504,17360,18324,19305,20272,21261,22125,22855,23631,24457,25341,26296,27392,28595,29772,31006,32372,33936,35716,37627,39673,41844
67,5472,5734,5995,6262,6545,6843,7142,7437,7729,8020,8299,8561,8840,9161,9529,9946,10410,10917,11452,12001,12613,13292,13983,14689,15487,16307,17199,18202,19174,20134,20953,21641,22353,23103,23908,24769,25767,26904,28075,29217,30401,31854,33519,35284,37175,39180
68,5172,5437,5691,5945,6213,6497,6788,7082,7375,7662,7928,8165,8405,8675,8985,9341,9746,10199,10691,11209,11797,12454,13127,13806,14496,15277,16128,17056,18050,19015,19813,20464,21133,21819,22550,23335,24232,25263,26366,27500,28599,29876,31428,33075,34816,36665
69,4847,5124,5380,5627,5882,6151,6430,6717,7009,7298,7561,7786,8002,8233,8491,8789,9134,9530,9968,10442,10998,11630,12279,12938,13602,14275,15082,15965,16884,17872,18682,19318,19950,20595,21263,21973,22789,23716,24712,25775,26873,28069,29441,30973,32594,34291
70,4493,4783,5051,5301,5550,5807,6071,6346,6633,6924,7189,7411,7614,7821,8041,8288,8574,8910,9289,9711,10224,10822,11444,12079,12721,13366,14062,14900,15777,16690,17529,18183,18800,19407,20032,20680,21418,22257,23150,24109,25143,26338,27623,28972,30475,32051
71,4121,4419,4700,4962,5215,5466,5718,5980,6254,6538,6806,7029,7229,7423,7619,7828,8064,8342,8662,9026,9485,10039,10627,11233,11849,12471,13137,13864,14694,15565,16338,17026,17659,18251,18840,19445,20115,20872,21679,22534,23471,24605,25880,27140,28462,29915
72,3744,4039,4328,4602,4865,5119,5365,5616,5877,6149,6409,6634,6837,7029,7212,7395,7595,7824,8089,8395,8796,9294,9836,10406,10992,11586,12227,12923,13643,14468,15205,15834,16499,17106,17681,18250,18873,19560,20285,21056,21898,22932,24137,25385,26614,27887
73,3374,3655,3940,4221,4496,4761,5009,5253,5503,5762,6010,6229,6433,6626,6807,6979,7154,7347,7564,7816,8158,8597,9083,9605,10153,10714,11327,11998,12686,13404,14101,14700,15307,15944,16530,17083,17667,18305,18963,19655,20416,21354,22457,23632,24844,26019
74,3024,3281,3551,3828,4109,4385,4643,4889,5132,5379,5614,5821,6019,6214,6396,6565,6730,6901,7084,7290,7576,7953,8378,8844,9342,9863,10443,11085,11749,12433,13030,13596,14173,14751,15366,15930,16494,17091,17701,18327,19014,19870,20869,21938,23075,24232
75,2702,2927,3173,3435,3712,3992,4260,4514,4758,4999,5223,5418,5605,5795,5978,6150,6312,6472,6635,6809,7047,7363,7726,8130,8569,9041,9582,10191,10825,11485,12054,12526,13070,13620,14178,14768,15341,15915,16484,17064,17688,18464,19374,20339,21370,22452
76,2413,2605,2820,3058,3318,3592,3864,4126,4378,4619,4836,5020,5197,5376,5555,5728,5894,6052,6204,6359,6561,6826,7129,7471,7849,8260,8750,9323,9924,10551,11099,11550,12004,12520,13049,13584,14178,14757,15305,15847,16426,17134,17957,18832,19758,20732
77,2153,2315,2498,2705,2940,3197,3461,3726,3984,4231,4449,4628,4795,4964,5134,5304,5470,5632,5784,5930,6109,6333,6584,6866,7182,7532,7965,8488,9050,9643,10166,10602,11035,11464,11959,12464,13001,13600,14152,14673,15212,15865,16613,17402,18234,19099
78,1920,2057,2210,2384,2588,2820,3067,3323,3583,3835,4057,4239,4403,4564,4724,4884,5047,5212,5367,5512,5677,5872,6082,6313,6571,6859,7231,7700,8213,8766,9260,9677,10094,10501,10911,11383,11890,12431,12999,13524,14038,14641,15328,16040,16785,17559
79,1710,1826,1954,2099,2271,2471,2692,2930,3179,3430,3659,3848,4016,4172,4324,4476,4631,4792,4949,5097,5255,5430,5612,5803,6010,6241,6555,6965,7421,7923,8383,8780,9177,9568,9958,10349,10820,11328,11841,12380,12893,13462,14092,14740,15405,16090
80,1517,1616,1724,1845,1988,2156,2347,2559,2790,3031,3258,3455,3630,3791,3939,4082,4227,4380,4534,4684,4839,5001,5163,5325,5494,5678,5939,6291,6689,7133,7550,7919,8295,8666,9039,9407,9798,10271,10751,11236,11758,12312,12898,13488,14088,14692
81,1340,1428,1520,1620,1739,1879,2038,2219,2424,2644,2862,3061,3244,3411,3561,3699,3837,3981,4126,4273,4424,4577,4728,4871,5013,5161,5375,5672,6012,6398,6766,7101,7450,7798,8149,8499,8867,9261,9706,10158,10621,11171,11736,12281,12823,13363
82,1173,1252,1332,1417,1516,1632,1763,1914,2089,2283,2483,2674,2859,3031,3187,3327,3460,3595,3730,3869,4012,4157,4298,4431,4556,4679,4857,5109,5397,5726,6042,6336,6649,6970,7298,7627,7975,8344,8713,9129,9556,10039,10590,11111,11608,12091
83,1017,1089,1160,1234,1317,1414,1522,1646,1790,1956,2130,2305,2484,2657,2817,2961,3094,3224,3351,3479,3608,3741,3875,4001,4116,4223,4376,4592,4833,5109,5376,5627,5901,6187,6487,6792,7117,7465,7808,8151,8540,8977,9458,9964,10436,10875
84,871,937,1002,1067,1139,1221,1310,1411,1529,1665,1813,1967,2129,2295,2455,2602,2737,2865,2985,3104,3221,3339,3461,3579,3689,3788,3924,4111,4317,4547,4769,4979,5210,5458,5725,6001,6302,6626,6948,7264,7579,7970,8401,8839,9296,9710
85,737,796,855,913,977,1047,1122,1205,1301,1411,1532,1661,1804,1955,2106,2251,2388,2517,2636,2747,2853,2957,3066,3174,3276,3368,3493,3661,3839,4034,4217,4389,4581,4789,5018,5261,5533,5830,6126,6422,6710,7024,7405,7794,8185,8583
86,614,666,719,772,828,890,954,1022,1100,1190,1287,1392,1512,1643,1779,1916,2051,2180,2297,2406,2504,2596,2692,2787,2879,2966,3082,3235,3393,3561,3716,3857,4012,4181,4370,4577,4816,5083,5354,5623,5886,6167,6472,6814,7158,7494
87,505,551,597,644,694,748,803,862,927,999,1077,1163,1259,1367,1484,1605,1731,1856,1972,2080,2174,2257,2341,2425,2507,2585,2691,2831,2972,3119,3253,3370,3497,3632,3784,3954,4156,4390,4631,4874,5112,5363,5631,5901,6200,6493
88,408,447,486,527,571,619,668,718,773,832,896,964,1041,1127,1223,1326,1436,1551,1663,1768,1859,1938,2014,2088,2159,2228,2322,2447,2575,2706,2825,2926,3029,3137,3258,3394,3560,3757,3964,4179,4389,4612,4850,5085,5317,5568
89,324,357,390,425,463,504,547,591,637,687,738,792,853,922,999,1083,1175,1275,1377,1476,1564,1640,1712,1778,1840,1899,1981,2091,2205,2323,2428,2518,2606,2693,2788,2893,3024,3186,3360,3543,3725,3919,4126,4332,4531,4720
90,255,281,308,337,370,405,441,479,519,561,603,646,695,749,808,873,947,1030,1117,1206,1289,1363,1432,1494,1550,1602,1671,1764,1864,1968,2062,2142,2219,2291,2366,2448,2550,2679,2819,2970,3122,3288,3466,3642,3814,3975
91,195,217,239,262,289,318,349,381,415,450,485,521,559,601,647,697,754,820,891,966,1040,1108,1173,1233,1287,1334,1392,1469,1553,1644,1727,1798,1867,1929,1990,2053,2133,2233,2342,2461,2585,2721,2870,3021,3167,3303
92,146,163,181,200,221,245,270,296,325,355,385,414,446,478,513,551,594,643,698,758,819,879,940,996,1047,1091,1142,1206,1276,1352,1423,1486,1546,1600,1652,1702,1763,1841,1926,2018,2114,2222,2342,2466,2588,2702
93,108,121,135,150,166,185,205,226,250,274,298,322,347,373,400,428,460,496,537,583,631,682,735,786,833,876,921,975,1031,1093,1152,1206,1257,1304,1349,1390,1440,1501,1566,1635,1707,1788,1881,1981,2080,2173
94,76,87,98,109,122,137,152,168,187,206,226,246,267,288,308,328,352,378,408,441,478,518,560,604,647,686,726,771,818,867,915,960,1003,1042,1080,1115,1156,1205,1254,1306,1358,1417,1488,1564,1641,1716
95,53,60,69,78,87,98,109,122,137,152,167,183,199,216,232,247,265,283,304,328,354,384,418,453,488,522,557,595,635,675,713,749,784,816,848,877,911,950,988,1026,1064,1107,1158,1214,1271,1328
96,36,41,47,54,61,69,77,86,97,109,120,132,145,158,171,183,195,208,222,239,257,278,304,331,359,387,416,448,480,513,544,571,599,624,649,673,701,732,763,792,819,849,884,923,965,1006
97,24,27,31,36,41,46,53,59,67,75,84,93,102,111,121,130,140,149,159,170,183,198,215,235,256,278,301,326,353,379,403,425,446,466,486,504,525,551,574,596,617,639,662,688,716,745
98,15,18,21,24,27,31,35,40,45,51,57,63,70,77,84,91,98,105,112,120,128,138,150,163,178,193,210,230,250,271,292,308,323,338,352,366,383,402,421,438,453,468,485,502,520,539
