Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
72,3101,3324,3542,3747,3937,4117,4291,4466,4648,4837,5023,5197,5363,5526,5691,5858,6040,6248,6485,6755,7084,7473,7898,8350,8819,9295,9828,10421,11034,11733,12370,12928,13509,14037,14536,15034,15571,16159,16778,17430,18135,19011,20055,21141,22212,23320
73,2774,2984,3197,3405,3603,3788,3962,4129,4299,4475,4647,4813,4974,5133,5289,5441,5598,5771,5961,6180,6457,6796,7173,7583,8017,8465,8967,9530,10108,10709,11304,11831,12360,12911,13421,13901,14399,14935,15485,16062,16691,17475,18420,19432,20476,21492
74,2468,2657,2856,3060,3261,3454,3633,3800,3962,4126,4285,4437,4588,4742,4894,5037,5179,5328,5484,5658,5889,6177,6502,6865,7258,7670,8139,8668,9214,9778,10284,10777,11278,11779,12308,12798,13275,13768,14269,14780,15336,16039,16884,17794,18761,19745
75,2190,2353,2533,2723,2919,3114,3299,3470,3632,3789,3937,4074,4211,4355,4502,4641,4775,4910,5044,5186,5373,5613,5889,6201,6546,6917,7349,7842,8354,8886,9361,9774,10241,10712,11193,11701,12184,12657,13117,13579,14070,14694,15449,16257,17121,18025
76,1942,2078,2232,2403,2585,2775,2962,3138,3304,3460,3600,3726,3850,3981,4117,4251,4381,4507,4627,4747,4902,5102,5331,5594,5889,6214,6602,7055,7531,8031,8482,8870,9260,9697,10148,10606,11103,11578,12019,12444,12886,13436,14103,14822,15585,16385
77,1721,1834,1962,2109,2271,2447,2628,2805,2976,3135,3273,3392,3504,3622,3746,3871,3995,4117,4230,4337,4471,4640,4829,5046,5293,5568,5908,6316,6753,7216,7637,8006,8372,8735,9154,9582,10031,10518,10961,11367,11768,12259,12847,13480,14152,14851
78,1524,1616,1722,1843,1982,2138,2305,2476,2646,2808,2950,3067,3173,3280,3391,3504,3621,3738,3848,3949,4069,4214,4373,4550,4752,4980,5270,5629,6023,6447,6839,7184,7529,7869,8215,8610,9029,9470,9922,10327,10708,11150,11673,12226,12812,13424
79,1348,1424,1510,1609,1724,1857,2005,2162,2325,2487,2631,2750,2854,2955,3057,3158,3263,3372,3477,3575,3688,3818,3954,4101,4264,4449,4693,5003,5348,5727,6085,6407,6729,7048,7370,7699,8086,8494,8900,9315,9691,10100,10568,11056,11563,12091
80,1190,1254,1325,1405,1499,1608,1733,1871,2021,2175,2318,2440,2547,2645,2740,2832,2926,3026,3123,3217,3324,3445,3566,3691,3825,3972,4173,4437,4732,5063,5382,5676,5974,6270,6572,6876,7197,7573,7949,8319,8699,9095,9523,9957,10402,10855
81,1046,1101,1160,1226,1301,1390,1492,1608,1739,1878,2014,2136,2246,2347,2440,2526,2612,2701,2789,2877,2977,3089,3200,3310,3423,3542,3707,3928,4178,4462,4739,4999,5270,5544,5824,6106,6401,6713,7057,7397,7732,8121,8527,8922,9315,9709
82,912,962,1012,1067,1128,1200,1282,1377,1486,1607,1729,1845,1955,2058,2153,2238,2317,2398,2477,2556,2648,2751,2853,2953,3052,3152,3288,3472,3681,3919,4154,4379,4618,4864,5121,5381,5654,5941,6225,6534,6837,7174,7566,7941,8298,8641
83,789,833,878,924,975,1032,1098,1174,1262,1363,1469,1574,1678,1780,1876,1962,2039,2114,2185,2255,2337,2429,2523,2615,2704,2790,2907,3062,3235,3432,3628,3818,4023,4239,4468,4705,4956,5220,5478,5732,6005,6304,6641,7001,7337,7647
84,675,716,756,797,839,887,940,1000,1070,1151,1238,1328,1422,1519,1614,1700,1778,1851,1916,1979,2050,2130,2213,2297,2379,2455,2557,2691,2835,2998,3160,3316,3488,3672,3871,4082,4309,4550,4787,5015,5231,5496,5795,6102,6423,6713
85,569,607,643,680,717,757,800,848,903,967,1037,1111,1191,1278,1367,1451,1530,1603,1666,1724,1786,1854,1925,1999,2073,2143,2234,2351,2475,2611,2742,2869,3009,3161,3330,3512,3713,3930,4145,4352,4545,4752,5013,5283,5556,5834
86,474,508,541,574,607,641,677,715,759,810,864,922,989,1063,1142,1221,1297,1370,1433,1488,1544,1602,1662,1725,1790,1853,1935,2039,2146,2261,2370,2472,2585,2708,2847,3000,3173,3364,3554,3741,3915,4096,4300,4535,4772,5005
87,389,419,449,478,507,538,568,600,635,674,717,762,814,875,942,1012,1082,1151,1214,1269,1321,1371,1423,1476,1531,1587,1659,1751,1846,1944,2035,2120,2211,2309,2420,2545,2689,2851,3019,3184,3335,3495,3673,3855,4058,4259
88,314,340,366,392,417,444,471,498,527,558,591,626,667,715,769,827,888,952,1011,1065,1115,1161,1206,1251,1298,1345,1407,1488,1571,1657,1735,1807,1881,1958,2045,2144,2261,2396,2537,2679,2811,2948,3101,3258,3415,3587
89,250,272,294,317,340,363,386,409,434,459,484,512,543,580,622,668,719,774,828,879,927,970,1011,1050,1089,1129,1182,1251,1323,1397,1466,1528,1588,1649,1717,1793,1885,1995,2110,2228,2341,2458,2588,2722,2855,2982
