Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
35,253137,259434,266310,273719,281859,290694,299767,308431,317594,328211,339524,351520,364488,378422,393387,407477,423678,443693,464263,485166,506344,528039,550099,572134,593651,614144,633649,652223,670088,687696,704992,722477,740917,760302,780220,800196,819803,838595,855583,869979,881672,889681,895448,902040,909757,918393
36,245819,251679,258019,264893,272346,280544,289406,298521,307225,316414,327033,338337,350328,363272,377168,392098,406160,422332,442277,462753,483567,504732,526311,548269,570164,591422,611874,631337,649851,667698,684980,702217,719963,738516,757980,778145,798455,818427,837416,854443,868750,880396,888193,893822,900333,907680
37,238769,244397,250300,256639,263560,271073,279297,288192,297342,306075,315266,325879,337183,349157,362074,375941,390839,404881,420996,440860,461260,482057,503113,524595,546412,568064,589284,609691,629083,647574,665154,682390,699851,717692,736323,756009,776454,797084,817222,836236,853187,867440,878878,886546,892105,898260
38,231914,237377,243048,248950,255339,262317,269857,278113,287045,296214,304951,314139,324755,336042,347995,360882,374726,389609,403607,419655,439445,459825,480520,501481,522831,544415,566030,587207,607536,626902,645176,662716,680145,697681,715592,734426,754353,775070,795834,815996,834935,851831,865884,877192,884799,890014
39,225008,230545,236051,241720,247672,254116,261119,268690,276985,285934,295104,303836,313040,323642,334910,346837,359707,373536,388370,402311,418304,438076,458357,478958,499786,520913,542469,564040,585139,605436,624618,642861,660562,678050,695652,713747,732782,752946,773778,794549,814631,833522,850218,864148,875398,882663
40,217640,223659,229237,234738,240456,246469,252938,259967,267572,275887,284836,294005,302747,311942,322524,333771,345680,358540,372328,387109,401000,416984,436657,456851,477321,497937,519040,540551,562039,583098,603245,622407,640787,658530,676075,693841,712106,731340,751592,772419,793117,813144,831842,848426,862307,873215
41,209554,216304,222360,227933,233486,239262,245294,251793,258863,266488,274800,283743,292919,301659,310834,321393,332626,344529,357354,371087,385816,399706,415607,435195,455257,475522,496113,517179,538604,560053,580985,601117,620386,638793,656590,674281,692187,710618,729923,750166,770915,791561,811399,829982,846517,860059
42,201959,208242,215019,221064,226689,232291,238093,244152,250686,257777,265402,273705,282662,291822,300545,309706,320256,331479,343347,356123,369816,384538,398347,414174,433632,453494,473739,494298,515268,536656,558000,578923,599140,618423,636873,654802,672608,690658,709141,728425,748587,769281,789738,809473,828010,844207
43,194455,200655,206964,213728,219818,225493,231118,236943,243044,249599,256687,264304,272620,281565,290709,299411,308564,319107,330297,342125,354856,368544,383185,396928,412640,431909,451745,471953,492420,513354,534657,555993,576981,597201,616518,635087,653102,671025,689114,707571,726778,746880,767389,787741,807429,825631
44,187130,193160,199385,205678,212480,218620,224314,229964,235824,241942,248498,255578,263211,271515,280438,289562,298257,307408,317918,329072,340858,353586,367196,381765,395397,410937,430178,449984,470101,490529,511394,532690,554077,575058,595301,614722,633355,651470,669417,687470,705848,724994,744912,765320,785627,804981
45,180846,185836,191889,198101,204435,211282,217430,223145,228833,234715,240827,247377,254470,262092,270380,279279,288387,297083,306206,316676,327796,339579,352233,365772,380226,393701,409230,428436,448152,468223,488598,509459,530792,552163,573161,593492,612961,631667,649796,667704,685670,703986,722948,742767,763131,783100
46,174591,179550,184565,190600,196850,203230,210080,216250,221997,227703,233577,239689,246251,253338,260938,269199,278085,287194,295862,304948,315387,326500,338218,350802,364232,378526,391990,407498,426616,446282,466313,486688,507578,528884,550265,571334,591696,611217,629929,648008,665828,683727,701863,720720,740500,760523
47,168257,173284,178266,183268,189340,195637,202022,208884,215080,220848,226549,232414,238540,245092,252158,259736,267984,276865,285942,294574,303638,314075,325119,336771,349246,362523,376801,390256,405684,424753,444386,464421,484813,505669,526979,548414,569498,589895,609409,628066,646053,663801,681519,699545,718366,737807
48,161896,166937,171977,176952,182000,188121,194412,200817,207695,213906,219663,225355,231240,237355,243883,250928,258493,266736,275587,284627,293236,302297,312670,323649,335192,347521,360782,375044,388427,403817,422865,442507,462546,482891,503749,525103,546539,567638,588015,607471,626027,643936,661493,679107,697095,715583
49,155523,160562,165616,170644,175659,180759,186882,193186,199608,206500,212695,218442,224145,230022,236111,242621,249653,257218,265432,274241,283250,291856,300862,311169,322042,333445,345760,359004,373188,386541,401938,420988,440623,460613,480953,501840,523182,544618,565691,585998,605344,623817,641528,658980,676550,694207
50,149242,154170,159223,164254,169328,174393,179498,185632,191961,198391,205260,211439,217197,222892,228740,234812,241309,248338,255871,264046,272828,281833,290384,299326,309530,320262,331647,343956,357126,371271,384644,400059,419095,438671,458646,479012,499870,521203,542597,563593,583789,603034,621307,638911,656315,673553
51,143217,147874,152808,157832,162912,168032,173106,178227,184382,190715,197121,203969,210155,215900,221569,227396,233452,239952,246945,254446,262594,271365,280316,288804,297644,307711,318433,329810,342040,355177,369340,382738,398147,417123,436678,456661,476989,497829,519112,540424,561290,581380,600417,618576,636122,653196
52,137605,141826,146479,151389,156459,161586,166710,171799,176947,183105,189409,195794,202644,208816,214529,220173,225985,232045,238512,245473,252948,261088,269807,278682,287071,295785,305836,316546,327851,340055,353217,367404,380794,396149,415095,434648,454587,474884,495663,516852,538032,558782,578650,597566,615659,632875
53,132504,136185,140400,145032,149982,155100,160227,165363,170480,175634,181765,188050,194435,201258,207393,213078,218710,224524,230556,236984,243923,251388,259475,268120,276895,285156,293855,303898,314544,325825,338059,351244,365412,378750,394084,413023,432515,452412,472641,493321,514364,535413,555938,575678,594521,612270
54,127969,131048,134721,138919,143593,148592,153706,158840,163999,169120,174252,180357,186645,193006,199785,205884,211554,217187,222972,228966,235377,242305,249722,257736,266272,274918,283164,291864,301843,312461,323776,336040,349205,363306,376628,391961,410830,430273,450091,470209,490740,511644,532463,552844,572489,590991
55,123995,126470,129541,133199,137438,142161,147155,152271,157431,162591,167690,172802,178907,185167,191485,198218,204302,209968,215571,221318,227289,233694,240580,247921,255829,264237,272851,281100,289743,299696,310359,321709,333946,347041,361113,374434,389709,408511,427867,447569,467528,487909,508584,529246,549521,568819
56,120510,122445,124907,127968,131677,135967,140681,145680,150814,155975,161108,166181,171302,177377,183591,189865,196570,202646,208283,213843,219572,225540,231897,238710,245945,253727,262105,270714,278906,287532,297539,308229,319551,331716,344782,358837,372103,387321,406026,425260,444787,464587,484735,505246,525786,545701
57,117341,118896,120822,123280,126395,130158,134440,139158,144171,149306,154436,159544,164623,169718,175746,181908,188157,194850,200886,206479,212014,217736,223661,229946,236654,243769,251522,259890,268441,276615,285298,295336,305997,317248,329379,342426,356410,369618,384750,403326,422374,441740,461304,481283,501652,521827
58,114294,115655,117203,119127,121650,124825,128578,132870,137602,142613,147713,152812,157924,162975,168028,174008,180139,186371,193016,198999,204570,210098,215778,221628,227810,234400,241481,249226,257536,266065,274300,283027,293027,303611,314827,326934,339901,353815,366944,381956,400336,419216,438344,457732,477556,497552
59,111193,112536,113887,115437,117434,120018,123192,126955,131261,135990,140962,146029,151129,156209,161214,166220,172165,178287,184468,191048,197000,202556,208046,213648,219399,225465,232020,239100,246787,255076,263664,271939,280630,290550,301098,312283,324307,337203,351018,364030,378866,397077,415714,434654,453876,473317
60,107900,109352,110683,112039,113665,115736,118323,121507,125288,129596,134284,139223,144286,149345,154375,159326,164311,170242,176301,182421,188962,194895,200409,205820,211322,216954,222985,229541,236569,244238,252588,261205,269445,278059,287937,298448,309549,321498,334288,347973,360816,375497,393464,411905,430666,449503
61,104327,105979,107413,108749,110183,111889,113969,116571,119780,123566,127830,132483,137417,142440,147444,152415,157339,162310,168179,174179,180254,186764,192647,198080,203387,208771,214371,220402,226912,233925,241656,250036,258606,266761,275338,285174,295596,306619,318462,331123,344612,357312,371778,389540,407789,426153
62,100504,102332,103955,105389,106804,108325,110038,112140,114778,117993,121739,125966,130616,135505,140464,145407,150344,155254,160172,165971,171919,177972,184423,190216,195539,200723,206068,211673,217664,224161,231241,239008,247328,255803,263916,272452,282199,292536,303446,315153,327625,340962,353457,367738,385298,403142
63,96533,98434,100224,101841,103357,104857,106388,108130,110268,112919,116103,119815,124041,128644,133460,138352,143251,148173,153022,157880,163628,169552,175545,181885,187560,192758,197904,203254,208822,214802,221369,228492,236195,244412,252830,260898,269344,278997,289227,299999,311514,323827,336945,349271,363366,380515
64,92518,94390,96245,98026,99716,101320,102827,104387,106174,108331,110953,114106,117820,121999,126530,131275,136119,140999,145848,150637,155453,161172,167028,172917,179127,184663,189812,194963,200280,205840,211902,218506,225566,233161,241316,249667,257640,266004,275543,285627,296203,307566,319666,332594,344738,358456
