Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
27,328814,338718,349278,360387,372399,385389,399393,412787,428691,448317,467699,487576,508092,528575,549321,569915,589991,609280,627604,645026,661784,678475,695381,712522,730103,747964,765736,782447,797967,811033,818969,823177,825400,824440,822252,822174,825910,834455,847762,865111,884697,905833,926942,947407,968031,988356
28,317772,326259,336190,346724,357873,369989,383073,397095,410468,426228,445590,464713,484348,504659,524975,545532,565987,585960,605085,623256,640568,657417,674155,690901,707720,724776,742254,759493,775887,790789,802073,809963,815302,817729,816806,814842,816113,821730,831660,845767,862876,882311,902763,923255,943600,963709
29,307323,315382,323904,333828,344415,355671,367882,380987,394983,408236,423781,442912,461824,481288,501458,521616,542055,562423,582256,601246,619326,636714,653601,670232,686701,703055,719800,736841,753810,769663,782985,794138,802951,808507,811076,810481,809725,812634,819404,829957,843758,860658,879441,899294,919669,939506
30,296511,305064,313169,321702,331676,342372,353722,365960,379043,392935,406002,421350,440293,459057,478402,498437,518498,538869,559114,578823,597743,615876,633298,650118,666510,682564,698667,715049,731862,748351,762823,775969,787878,796916,802704,805665,806132,806808,810671,817916,828114,841655,857944,876160,895906,915787
31,285999,294365,302962,311076,319673,329759,340547,351929,364152,377145,390855,403755,418954,437768,456437,475666,495613,515616,535877,556014,575660,594620,612781,630155,646768,662787,678638,694442,710633,727027,742313,756592,770367,782506,791836,798064,801964,803667,805123,809351,816198,826103,839076,854831,872954,892221
32,276202,283947,292361,300966,309149,317859,328031,338850,350228,362365,375194,388744,401527,416630,435358,453921,473083,492983,512889,533049,553131,572806,591780,609916,627105,643384,659237,674839,690479,706310,721664,736752,751554,765566,778039,787838,794895,799863,802211,803937,807731,814255,823634,836111,851785,869449
33,267151,274227,282024,290448,299116,307407,316208,326417,337229,348527,360520,373203,386641,399346,414395,433028,451530,470653,490463,510279,530397,550494,570177,589139,607109,623999,640137,655779,671234,686560,701497,716662,732193,747232,761613,774571,785103,793100,798589,801124,802397,805844,811879,820796,833205,848448
34,258713,265240,272367,280175,288656,297433,305812,314648,324853,335599,346758,358620,371203,384573,397241,412222,430796,449269,468308,488034,507813,527934,548034,567711,586521,604212,620984,636942,652452,667640,682202,696967,712503,728269,743694,758561,772182,783540,791960,797578,799639,800542,803529,809133,817997,829999
35,250918,256843,263428,270574,278442,287024,295877,304289,313128,323274,333890,344932,356700,369228,382559,395174,410118,428668,447064,466024,485713,505491,525611,545706,565240,583793,601379,617989,633834,649116,663645,678054,693131,708899,725056,740969,756438,770786,782488,790986,796113,797782,798256,800841,806408,814892
36,243697,249088,255072,261674,268878,276844,285501,294380,302799,311589,321610,332113,343074,354795,367296,380574,393170,408105,426574,444897,463823,483507,503272,523387,543348,562643,581100,598543,615051,630691,645411,659809,674485,689785,705944,722581,739037,755152,769777,781520,789515,794233,795496,795595,798159,803364
37,236808,241889,247339,253348,260007,267305,275345,284026,292909,301280,309959,319879,330310,341228,352930,365378,378633,391230,406105,424501,442790,461707,481372,501136,521124,540860,560062,578391,595736,612066,627229,641833,656450,671338,687032,703655,720781,737813,754150,768783,780018,787596,791926,792834,792920,795148
38,230117,235016,240159,245632,251698,258454,265826,273890,282575,291405,299671,308255,318109,328504,339409,351065,363496,376747,389293,404112,422472,440745,459643,479297,498939,518719,538364,557451,575687,592870,608790,623854,638637,653455,668726,684869,701934,719573,736782,753094,767225,778042,785251,789236,790137,789910
39,223294,228338,233294,238463,243996,250158,256983,264377,272446,281082,289808,297989,306515,316340,326718,337584,349225,361652,374851,387352,402147,420482,438731,457617,477160,496601,516293,535831,554827,572913,589745,605577,620791,635762,650947,666648,683190,700712,718479,735642,751461,765169,775636,782523,786494,787091
40,215901,221526,226622,231602,236826,242455,248683,255533,262937,270963,279494,288134,296259,304765,314579,324925,335775,347415,359792,372937,385424,400205,418507,436744,455520,474867,494224,513816,533267,552121,569912,586668,602617,617995,633319,648911,664971,681913,699526,717235,733904,749313,762697,772857,779720,783390
