Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,35,20656,22003,23459,25009,26666,28458,30371,32340,34277,36466,38829,40843,42560,44377,46324,48391,50211,52915,55702,58440,61444,64681,68044,71487,74960,78369,81686,85033,88285,91522,94713,96848,99072,101409,103842,106302,108672,110291,111606,112421,112786,113179,113036,113018,113473,114291,115564
Hombres,36,20037,21319,22683,24150,25715,27392,29214,31145,33136,35087,37284,39241,40829,42541,44357,46306,48366,50191,52893,55674,58409,61648,64907,68283,71750,75201,78599,82051,85398,88700,91908,94073,96267,98520,100907,103419,105952,107766,109527,110868,111766,112518,112919,112626,112693,113100,113912
Hombres,37,19417,20650,21948,23318,24797,26380,28080,29919,31870,33874,35828,37631,39184,40768,42480,44297,46240,48306,50130,52827,55608,58571,61831,65100,68499,71948,75391,78943,82400,85798,89078,91283,93496,95713,98016,100475,103056,105085,107031,108816,110240,111477,112248,112515,112316,112346,112753
Hombres,38,18789,19980,21227,22528,23908,25401,27004,28719,30573,32536,34543,36117,37534,39081,40668,42380,44194,46142,48210,50030,52729,55728,58708,61979,65273,68656,72099,75710,79270,82778,86164,88462,90705,92936,95197,97569,100092,102222,104378,106347,108211,109924,111199,111853,112211,111988,112028
Hombres,39,18110,19306,20508,21756,23066,24458,25969,27583,29309,31174,33139,34783,35988,37401,38950,40537,42245,44067,46015,48078,49899,52808,55824,58818,62112,65391,68773,72394,76020,79628,83127,85552,87877,90132,92403,94731,97158,99295,101547,103718,105765,107866,109638,110812,111563,111908,111701
Hombres,40,17359,18581,19788,20992,22248,23565,24972,26492,28115,29848,31712,33332,34623,35825,37241,38792,40376,42089,43910,45856,47917,49947,52871,55898,58912,62193,65474,69040,72678,76350,79960,82516,84958,87294,89583,91914,94290,96392,98639,100904,103152,105391,107580,109264,110536,111285,111652
Hombres,41,16526,17787,19021,20229,21437,22701,24031,25442,26968,28596,30325,31861,33146,34435,35641,37058,38606,40196,41913,43728,45674,47937,49978,52911,55957,58960,62239,65714,69302,72985,76664,79346,81911,84357,86723,89070,91445,93553,95757,98015,100352,102749,105102,107217,109003,110282,111055
Hombres,42,15822,16910,18184,19420,20632,21847,23121,24453,25869,27398,29021,30438,31657,32939,34231,35438,36854,38406,39996,41708,43524,45663,47936,49985,52939,55972,58973,62456,65949,69580,73275,76042,78727,81295,83767,86184,88569,90732,92937,95147,97469,99920,102459,104754,106972,108773,110081
Hombres,43,14987,16170,17267,18543,19783,21002,22225,23500,24837,26253,27775,29101,30218,31433,32718,34011,35215,36637,38189,39774,41485,43489,45634,47916,49981,52918,55950,59159,62663,66198,69844,72646,75414,78099,80688,83208,85661,87883,90131,92334,94605,97013,99634,102127,104525,106763,108594
Hombres,44,14300,15298,16491,17586,18868,20115,21341,22565,23842,25178,26587,27825,28868,29981,31200,32484,33774,34985,36405,37949,39534,41425,43434,45585,47879,49931,52864,56109,59341,62886,66441,69211,72009,74774,77477,80112,82661,84994,87291,89533,91792,94121,96727,99313,101910,104331,106605
Hombres,45,13625,14577,15580,16776,17872,19162,20418,21643,22868,24144,25471,26610,27582,28620,29738,30954,32235,33529,34739,36152,37697,39454,41347,43358,45520,47799,49847,53002,56267,59540,63103,65803,68568,71363,74142,76886,79545,82012,84409,86695,88981,91284,93841,96419,99106,101730,104188
Hombres,46,12942,13872,14830,15833,17030,18131,19429,20686,21913,23137,24403,25475,26362,27328,28370,29488,30699,31980,33274,34476,35889,37595,39353,41249,43267,45415,47685,49959,53135,56443,59731,62460,65153,67913,70718,73538,76302,78906,81428,83810,86135,88453,91004,93540,96216,98932,101590
Hombres,47,12264,13163,14098,15054,16057,17260,18368,19668,20926,22153,23368,24390,25221,26104,27073,28113,29224,30438,31719,33002,34205,35770,37475,39233,41133,43133,45269,47779,50074,53286,56611,59088,61807,64493,67262,70105,72940,75674,78325,80823,83239,85584,88175,90708,93335,96039,98783
Hombres,48,11591,12461,13364,14298,15253,16259,17469,18577,19878,21134,22353,23336,24130,24958,25844,26811,27845,28959,30171,31440,32720,34067,35630,37333,39093,40974,42963,45347,47875,50197,53428,55962,58433,61144,63838,66642,69498,72318,75089,77715,80244,82668,85305,87877,90498,93145,95873
Hombres,49,10932,11767,12640,13540,14473,15432,16442,17654,18759,20062,21310,22308,23074,23865,24695,25579,26540,27577,28687,29887,31150,32566,33913,35469,37174,38911,40777,43022,45422,47977,50316,52782,55308,57769,60486,63209,66022,68878,71728,74473,77122,79651,82381,84998,87647,90283,92948
Hombres,50,10299,11090,11928,12798,13698,14633,15594,16602,17813,18918,20212,21253,22044,22807,23599,24426,25304,26267,27298,28397,29592,30984,32394,33731,35286,36970,38691,40819,43079,45502,48070,49673,52128,54643,57111,59853,62584,65406,68284,71107,73871,76513,79352,82062,84744,87402,90047
Hombres,51,9708,10443,11234,12069,12937,13837,14775,15734,16738,17949,19044,20141,20986,21772,22535,23326,24147,25027,25984,27003,28095,29408,30792,32195,33531,35064,36727,38717,40858,43133,45566,47420,49020,51466,53981,56473,59218,61966,64811,67661,70499,73241,76193,79012,81777,84461,87119
Hombres,52,9168,9840,10574,11361,12192,13061,13963,14896,15850,16853,18055,18963,19874,20712,21499,22261,23042,23866,24740,25686,26701,27899,29204,30577,31973,33288,34801,36736,38735,40888,43174,44917,46762,48360,50802,53339,55832,58600,61366,64181,67043,69843,72899,75826,78690,81450,84129
Hombres,53,8688,9291,9960,10689,11471,12301,13169,14066,14992,15944,16935,17960,18695,19599,20435,21221,21972,22757,23576,24437,25376,26490,27680,28971,30337,31710,33004,34792,36732,38742,40901,42525,44260,46096,47699,50156,52688,55214,57998,60735,63557,66366,69474,72500,75464,78316,81060
Hombres,54,8261,8800,9401,10062,10783,11564,12392,13253,14142,15065,16002,16827,17689,18419,19320,20154,20927,21683,22463,23267,24124,25153,26254,27433,28715,30054,31402,32974,34764,36713,38726,40250,41865,43591,45425,47049,49500,52069,54609,57359,60103,62856,65965,69044,72097,75045,77873
